school_name,location,latitude,longitude,grades,students,year_established,type_of_school,nearest_healthcare_name,nearest_healthcare_type,nearest_healthcare_distance_km,healthcare_within_1km,healthcare_within_2km,healthcare_within_5km,total_healthcare_facilities,nearest_metro_station,nearest_metro_distance_km,metro_within_1km,metro_within_2km,metro_within_5km,total_metro_stations,hospitals_within_5km,clinics_within_5km,pharmacies_within_5km,food_venues_within_5km,shopping_venues_within_5km,entertainment_venues_within_5km,accessibility_score,healthcare_accessibility_score,metro_accessibility_score,overall_urban_score,nearest_community,nearest_community_distance_km,nearest_community_population,communities_within_1km,communities_within_2km,communities_within_5km,population_within_1km,population_within_2km,population_within_5km,avg_distance_to_communities_km,community_accessibility_score,community_density_score,overall_community_score
Uptown School,Mirdif,25.210243,55.423257,KG1-G10,1222.0,2012.0,IB,UPTOWN INTERNATIONAL SCHOOL (BR OF TAALEEM MANAGEMENT(LLC)),General Practice,0.1675083151109496,6,30,130,2312,Rashidiya,3.9161609460780658,0,0,10,540,0,1,0,1,1,1,2.4166998936912187,0.134,3.916,0.543,PORT SAEED,2.3739949558276514,13551,0,0,11,0,0,253407,54.720278174172755,4.0,2.0,3.2
Delhi Private School Academy,Dubai Academic City,25.105576,55.402396,KG1-G7,321.0,2013.0,Indian(ICSE),German International School Dubai,Internal Medicine,0.2605910431798237,4,23,63,2312,Rashidiya,13.905844364197684,0,0,0,540,0,2,0,0,0,0,8.44774303579054,0.208,13.906,0.41,AL GARHOUD,7.944431566885132,18535,0,0,0,0,0,0,64.2095013750443,5.0,1.0,3.4
GEMS New Millennium School ,Al Khail ,25.123782,55.257187,KG1-G7,839.0,2013.0,Indian(CBSE),Gems New Millennium School Alkhail,General Practice,0.0379442227785718,4,14,108,2312,Noor Bank,4.5772636213159466,0,0,20,540,0,1,3,2,2,2,2.7615358619009966,0.03,4.577,0.479,AL BARSHAA FIRST,5.680231924244665,39451,0,0,0,0,0,0,67.86786798761172,5.0,1.0,3.4
Sabari Indian School ,Al Waheda,25.289783,55.341133,KG1-G6,437.0,2013.0,Indian(CBSE),Sabari Indian School LLC,General Practice,0.0368446003608568,7,43,340,2312,Abu Hail,1.6973459316245176,0,20,140,540,0,16,5,14,14,14,1.0331453991190531,0.029,1.528,0.995,AL QUSAIS THIRD,0.929069235823399,7162,2,5,22,16531,83495,297671,52.088839020321245,1.5,3.0,2.1
Springdales School,Al Quoz,25.149543,55.253366,KG2-G8,899.0,2013.0,Indian(CBSE),Springdales School LLC,General Practice,0.0273767220198996,20,36,347,2312,Noor Bank,2.594694941960467,0,0,20,540,0,13,4,2,2,2,1.56776765398424,0.022,2.595,0.838,BURJ KHALIFA,5.706336909927262,20477,0,0,0,0,0,0,65.96258622778137,5.0,1.0,3.4
Victory Heights Primary School,Dubai Sports City,25.035148,55.222489,FS1-G5,515.0,2013.0,UK,Victory Heights Primary School,General Practice,0.0535234420793861,9,34,85,2312,Station R73,6.262998449066307,0,0,0,540,0,2,1,0,0,0,3.7792084462715385,0.043,6.263,0.418,AL BARSHAA FIRST,8.966537670129304,39451,0,0,0,0,0,0,77.57453409563846,5.0,1.0,3.4
Foremarke School,Dubailand,25.079423,55.242616,FS1-G3,191.0,2013.0,UK,REPTON AL BARSHA FZ-LLC ,Nursing,0.0625325716165156,5,16,99,2312,Mall of the Emirates,6.296449923176924,0,0,0,540,0,4,2,0,0,0,3.802882982552761,0.05,6.296,0.437,AL BARSHAA FIRST,5.5903803162298304,39451,0,0,0,0,0,0,72.48899840109326,5.0,1.0,3.4
International Concept for Education,Meydan,25.153909,55.298824,KG1-G2,159.0,2013.0,French/IB,International Concept Education - School Clinic,General Practice,0.1136930619503453,2,2,70,2312,Business Bay,5.6745507423633255,0,0,0,540,0,7,0,0,0,0,3.450207670198133,0.091,5.675,0.465,BURJ KHALIFA,5.404913506443044,20477,0,0,0,0,0,0,63.26689876369864,5.0,1.0,3.4
GEMS Wellington Academy - Al Khail,Al Khail ,25.123129,55.254493,FS1-G7,820.0,2013.0,UK,Gems Wellington Academy Al Khail,General Practice,0.0309373484375759,4,16,131,2312,Noor Bank,4.469935802966626,0,0,20,540,0,3,3,2,2,2,2.6943364211550063,0.025,4.47,0.512,AL BARSHAA FIRST,5.4000126006268,39451,0,0,0,0,0,0,68.06330769874964,5.0,1.0,3.4
Oasis School,Al Safa,25.178509,55.238012,KG1-G5,124.0,2013.0,UK,Jumairah International Nursery- Branch,Nursing,0.1909786533820255,40,102,468,2312,Business Bay,2.6642720072031265,0,0,30,540,0,20,5,3,3,3,1.674954665674686,0.153,2.664,0.873,BURJ KHALIFA,4.210185920947327,20477,0,0,8,0,0,88826,64.69305719274892,4.0,1.0,2.8
GEMS International School - Al Khail,Al Khail ,25.122362,55.255576,KG1-G8,567.0,2013.0,IB,Gems International School Al Khail LLC,Nursing,0.0179261806536519,4,14,115,2312,Noor Bank,4.603054739230393,0,0,20,540,0,2,3,2,2,2,2.7690033157996963,0.014,4.603,0.487,AL BARSHAA FIRST,5.491215328884473,39451,0,0,0,0,0,0,68.0714627099867,5.0,1.0,3.4
Credence High School ,Al Quoz,25.152316,55.249429,KG1-G6,348.0,2014.0,Indian,Credence High School LLC,General Practice,0.0705327894534521,28,40,375,2312,Noor Bank,2.1395189930882785,0,0,20,540,0,13,5,2,2,2,1.311924511634348,0.056,2.14,0.89,BURJ KHALIFA,5.587800699996027,20477,0,0,0,0,0,0,65.96722405081941,5.0,1.0,3.4
Bilva Indian School ,Al Qusais,25.277453,55.366716,KG1-G6,381.0,2014.0,Indian,Amity School LLC,Nursing,0.1084744036765001,18,90,324,2312,Stadium,0.5178779500168156,20,40,150,540,0,19,6,15,15,15,0.3541165314806894,0.087,0.414,1.134,DUBAI  AIRPORT,2.7111616665695006,22,0,0,15,0,0,275274,51.72644087158382,4.0,2.0,3.2
GEMS FirstPoint School,Dubai land,25.089952,55.376415,FS1-G7,308.0,2014.0,UK,The Aquila School Owned By Shaikh Mohammed Makto,Nursing,0.6969623664806405,3,8,59,2312,Creek,14.831110607640156,0,0,0,540,0,2,0,0,0,0,9.17745131117635,0.558,14.831,0.392,AL GARHOUD,10.943909132338952,18535,0,0,0,0,0,0,66.3108913668234,5.0,1.0,3.4
Kings Nad Al Sheba,Nad Al Shibba,25.152316,55.380192,FS1-G5,67.0,2014.0,UK,Kings School Nad Al Sheba,Nursing,0.3051922680711608,3,6,111,2312,Creek,8.492144840502796,0,0,0,540,0,2,0,0,0,0,5.217363811530142,0.244,8.492,0.408,PORT SAEED,5.395796514262258,13551,0,0,0,0,0,0,60.40860248601437,5.0,1.0,3.4
Ontario International Canadian School ,Mirdif,25.221404,55.426068,KG1-G6,109.0,2014.0,Canadian,Dr Inas Nutrition Center,Clinical Dietetics and Nutrition,0.2234975213578329,21,60,127,2312,Rashidiya,3.6420937851108177,0,0,20,540,0,1,1,2,2,2,2.2746552796096235,0.179,3.642,0.584,AL KHBEESI,3.4680648280996214,1992,0,0,8,0,0,165574,53.88550613622051,4.0,2.0,3.2
Nord Anglia International School Dubai,Al Barsha,25.062004,55.227242,FS1-G7,550.0,2014.0,UK,Nord Anglia International School L L C,Nursing,0.2036335367406622,3,35,102,2312,Mashreq,6.91722954599255,0,0,0,540,0,4,1,0,0,0,4.231791142291795,0.163,6.917,0.432,AL BARSHAA FIRST,6.279221237432001,39451,0,0,0,0,0,0,74.86260164144595,5.0,1.0,3.4
Kings' Al Barsha,Al Barsha,25.086221,55.251102,FS1-G8,546.0,2014.0,UK,Kings Al Barsha School,Nursing,0.3957989470313048,2,8,85,2312,FGB,6.261399344778204,0,0,0,540,0,3,2,0,0,0,3.915159185679444,0.317,6.261,0.414,AL BARSHAA FIRST,5.815007153496394,39451,0,0,0,0,0,0,71.45079148904705,5.0,1.0,3.4
Gems Metropole School,Motor City,25.042429,55.243657,FS1-G7,934.0,2014.0,UK,Gems Metropole School,General Practice,0.1557819357840563,16,35,94,2312,Station R73,8.541989736182016,0,0,0,540,0,2,1,0,0,0,5.187506616022832,0.125,8.542,0.414,AL BARSHAA FIRST,8.961863410272425,39451,0,0,0,0,0,0,75.83703526669626,5.0,1.0,3.4
Safa Community School,Dubai land,25.061716,55.248441,FS1-G7,101.0,2014.0,UK,Safa Community School,Nursing,0.0149093334716696,7,17,90,2312,Mall of the Emirates,8.194971177541007,0,0,0,540,0,2,1,0,0,0,4.922946439913272,0.012,8.195,0.419,AL BARSHAA FIRST,7.433112203595747,39451,0,0,0,0,0,0,73.81380324453482,5.0,1.0,3.4
Dovecote Green Primary ,Dubai Investment Park,24.997085,55.155938,KG1,4.0,2014.0,UK,Dove Green Private School LLC,General Practice,0.0638651727205476,6,26,56,2312,Station R74,0.9686867875142836,10,20,60,540,0,2,1,6,6,6,0.6067581415967891,0.051,0.775,0.961,AL BARSHAA FIRST,13.758267724146236,39451,0,0,0,0,0,0,84.72057834927823,5.0,1.0,3.4
Capital School,Al Qusais,25.284385,55.371958,FS1-G5,264.0,2014.0,UK,Capital School,Nursing,0.070792240394527,35,96,217,2312,Al Nahda,1.2632510355752165,0,30,110,540,0,12,5,11,11,11,0.7862675175029407,0.057,1.137,1.046,DUBAI  AIRPORT,3.540684755009644,22,0,0,11,0,0,294956,51.20399946128851,4.0,2.0,3.2
Swiss International Scientifc School ,Health Care City,25.219684,55.32988,KG1-12,,2015.0,IB /Swiss ,Fifa Sport Medical Center Of Excellence Dubai LLC,Physical Medicine and Rehabilitation,0.419217315853045,3,121,427,2312,Al Jadaf,0.7015389468197258,20,30,140,540,0,37,13,14,14,14,0.5886102944330536,0.335,0.561,1.099,AL REGA,2.8680740575137134,10480,0,0,9,0,0,263506,56.67762941129638,4.0,2.0,3.2
Hartland Internaitnal School ,Meydan,25.177947,55.274873,KG1-13,,2015.0,UK/IB,G.M.C.K.S.Pranic Energy Healing Centre,Holistic Therapist,0.2637717036900869,17,65,370,2312,Business Bay,2.076464656580963,0,0,40,540,0,21,4,4,4,4,1.3513874754246125,0.211,2.076,0.94,BURJ KHALIFA,2.1413649096429412,20477,0,0,8,0,0,88826,62.52198745244791,4.0,1.0,2.8
St Mary High Catholic School -branch,Muhaisana,25.28038,55.40825,KG1-13,,2015.0,UK,ST MARY HIGH SCHOOL MUHAISNAH L.L.C,General Practice,0.0238140767014609,11,27,155,2312,Al Qusais,2.871605502420344,0,0,50,540,0,4,3,5,5,5,1.732488932132791,0.019,2.872,0.744,DUBAI  AIRPORT,5.2695184383654246,22,0,0,0,0,0,0,50.483887523457184,5.0,1.0,3.4
Dubai British School - Jumairah Park ,Jumairah Park,25.298406,55.451661,KG1-13,,2015.0,UK,Dr. Ismail Medical Center(Br Muhaisanah),General Practice,3.6189396715420257,0,0,21,2312,Etisalat,7.0317552156815815,0,0,0,540,0,1,1,0,0,0,5.666628998025759,3.619,7.032,0.265,AL MEZHAR FIRST,8.484402364513365,16552,0,0,0,0,0,0,48.82399962738943,5.0,1.0,3.4
Ranches Primary School ,Arabian Ranches,25.031625,55.270907,FS1 -G6,,2015.0,UK,Ranches Nursery,Nursing,0.2391461717879817,7,11,65,2312,Station R73,10.945471777503997,0,0,0,540,0,2,1,0,0,0,6.662941535217591,0.191,10.945,0.41,AL BARSHAA FIRST,11.462638852114171,39451,0,0,0,0,0,0,75.60840977841251,5.0,1.0,3.4
